Region 2,Estimated Number of Seeds per Plant
California Edge,1244
California Edge,1834
California Edge,1113
California Edge,939
California Edge,742
California Edge,982
California Edge,1070
California Edge,1004
California Edge,1157
California Edge,1135
California Edge,1048
California Edge,1223
California Edge,1244
California Edge,1048
California Edge,873
California Edge,851
California Edge,786
California Edge,1004
California Edge,1310
California Edge,1113
California Edge,1179
California Edge,982
California Edge,1026
California Edge,1332
California Edge,1223
California Edge,1092
California Edge,1790
California Edge,1768
California Edge,1004
California Edge,1179
California Edge,1375
,
,
