"id","pop","observer","stem_length","seedheads1","seedheads2","seedheads_avg","fam","rack","region","code","rep","round","bolting","budding","flowering","fruiting","bolting_to_flowering","flowering.doy","longitude","latitude","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Heads_at_bagging","Heads_after_bagging","seedheads_total"
1,"NL-CUI","JB",52,62,59,61,1,"1","NL","NL-CUI1","A",1,"5/31/19","9/13/19",0019-09-24,"10/23/19",116,267,5.8460618,51.7525697,9.87083339691162,8.02499961853027,35.0436706542969,562.051696777344,22.7999992370605,-0.100000001490116,22.8999996185303,4.26666688919067,5.75,16.9166660308838,3.20000004768372,747,72,45,14.3505039215088,204,156,197,181,NA,NA,61
2,"NL-HAR","MM",92,58,NA,58,1,"1","NL","NL-HAR1","A",1,"6/21/19","9/13/19",0019-09-19,"10/11/19",90,262,5.8897423,52.4110137,9.63333320617676,7.98333311080933,35.7997016906738,557.438659667969,22.2999992370605,0,22.2999992370605,10.1166667938232,5.75,16.5499992370605,2.90000009536743,790,78,44,16.0751628875732,225,157,209,187,1,NA,59
4,"CC-BYD","DR",95,89,89,89,1,"1","CC","CC-BYD1","A",1,"5/24/19",NA,0019-09-09,"10/8/19",108,252,-122.0730556,37.535,14.7708330154419,10.6083335876465,52.7777786254883,364.588562011719,25,4.90000009536743,20.1000003814697,11.1333332061768,18.7000007629395,18.9333343505859,10.0500001907349,368,75,1,89.1494293212891,193,5,8,193,8,1,98
5,"NL-TIL","ER",64,58,60,59,1,"1","NL","NL-TIL1","A",1,"5/31/19",NA,0019-09-27,"10/15/19",119,270,5.0498172,51.5395786,9.95833301544189,8.31666660308838,35.8477020263672,557.758666992188,23.1000003814697,-0.100000001490116,23.2000007629395,6.93333339691162,5.86666679382324,16.9333343505859,3.33333325386047,792,76,46,14.4286403656006,223,165,204,194,NA,NA,59
6,"CE-JAR","JB",92,44,NA,44,1,"1","CE","CE-JAR1","A",1,"5/24/19",NA,0019-09-09,"10/1/19",108,252,-120.733546,38.3638507,15.1291666030884,15.8083333969116,47.472469329834,651.444030761719,34.4000015258789,1.10000002384186,33.3000030517578,8.80000019073486,23.1166667938232,23.3666667938232,7.61666679382324,853,161,4,84.9769973754883,437,15,25,422,2,NA,46
7,"CC-PPR","MH",86,71,73,72,1,"1","CC","CC-PPR1","A",1,"5/24/19",NA,0019-09-09,"10/1/19",108,252,-122.1633333,37.3875,14.6333332061768,12.3666667938232,55.2083358764648,386.51318359375,26.2999992370605,3.90000009536743,22.3999996185303,10.8166666030884,19.033332824707,19.3166656494141,9.89999961853027,513,104,2,90.5680313110352,272,7,10,268,NA,1,73
8,"CC-GUA","JB",102,101,99,100,1,"1","CC","CC-GUA1","A",1,"5/24/19",NA,0019-09-09,"10/1/19",108,252,-121.9054254,37.3414367,16.2666664123535,13.4499998092651,55.3497924804688,420.185760498047,29.1000003814697,4.80000019073486,24.2999992370605,12.0666666030884,21.0499992370605,21.2666664123535,11.1166667938232,406,82,1,88.9559173583984,212,5,8,205,NA,4,104
9,"NL-SCH","NL/JB/MM",78,100,97,99,1,"1","NL","NL-SCH1","A",1,"5/24/19","8/12/19",0019-08-22,"9/16/19",90,234,5.8811594,52.0241862,9.55416679382324,7.84166669845581,34.3932762145996,562.399291992188,22.3999996185303,-0.400000005960464,22.7999992370605,3.95000004768372,5.40000009536743,16.5499992370605,2.86666655540466,861,89,51,15.7285833358765,252,180,214,223,NA,NA,99
11,"CE-JES","JB",94,118,114,116,1,"1","CE","CE-JES1","A",1,"5/24/19","9/9/19",0019-09-09,"10/1/19",108,252,-120.6524991,38.3176096,14.6999998092651,15.25,47.0679054260254,643.671997070312,33.5999984741211,1.20000004768372,32.3999977111816,8.43333339691162,22.5499992370605,22.9333343505859,7.31666660308838,910,169,4,84.4116058349609,459,17,27,448,NA,4,120
12,"CC-CVR","DR",93,113,109,111,1,"1","CC","CC-CVR1","A",1,"5/24/19","9/9/19",0019-09-09,"10/8/19",108,252,-121.8698331,37.4387604,16.0208339691162,13.375,54.5918350219727,430.535919189453,29.1000003814697,4.59999990463257,24.5,11.6499996185303,20.8833332061768,21.1499996185303,10.6999998092651,365,72,1,86.836784362793,186,6,9,182,NA,NA,111
13,"CE-OAK","CC",98,40,NA,40,1,"1","CE","CE-OAK1","A",1,"5/24/19","9/10/19",0019-09-10,"10/4/19",109,253,-120.7915764,38.6341236,14.5,14.716667175293,46.1337509155273,645.368103027344,33,1.10000002384186,31.8999996185303,7.76666688919067,22.3999996185303,22.8166656494141,7.18333339691162,989,180,5,83.504768371582,486,19,32,483,2,2,44
14,"CE-JVR","DR",103,85,NA,85,1,"1","CE","CE-JVR1","A",1,"5/24/19","9/11/19",0019-09-11,"10/8/19",110,254,-120.379422,37.8617972,15.6458330154419,16.3583335876465,47.1421699523926,682.743347167969,35.7999992370605,1.10000002384186,34.7000007629395,8.86666679382324,24.0166664123535,24.3500003814697,7.75,666,118,2,85.1984329223633,336,10,17,324,2,1,88
16,"CE-JAM","JB",83,110,106,108,1,"1","CE","CE-JAM1","A",1,"5/24/19",NA,0019-09-09,"10/1/19",108,252,-120.4112005,37.9461108,14.9916667938232,16.6333332061768,47.5238075256348,677.917419433594,35.4000015258789,0.400000005960464,35,8.21666622161865,23.2999992370605,23.716667175293,7.21666669845581,765,137,2,85.0584716796875,384,12,20,372,NA,NA,108
17,"CE-SCT","NL/JB/MM",90,69,65,67,1,"1","CE","CE-SCT1","A",1,"5/24/19","8/19/19",0019-08-26,"9/19/19",94,238,-120.8815231,39.1569134,13.2583332061768,13.9499998092651,45.1456298828125,636.156188964844,31.5,0.600000023841858,30.8999996185303,6.23333358764648,21.0666675567627,21.5499992370605,6.23333358764648,1300,247,4,84.5172805786133,665,27,35,665,NA,NA,67
18,"CC-ALV","VG",89,48,51,50,1,"1","CC","CC-ALV1","A",1,"5/24/19",NA,0019-09-10,"10/8/19",109,253,-121.9627778,37.4330556,15.4916667938232,11.0666666030884,53.462158203125,380.614532470703,26.2999992370605,5.59999990463257,20.6999988555908,11.6499996185303,19.6833324432373,19.9166660308838,10.6833333969116,349,69,1,87.8154907226562,181,5,8,176,3,NA,53
19,"FC-COU","JB",65,47,49,48,1,"1","FC","FC-COU1","A",1,"5/31/19","10/4/19",0019-10-15,"11/12/19",137,288,3.1593172,45.7492959,11.0166664123535,10.2166662216187,39.2948722839355,587.751220703125,25.5,-0.5,26,16.5,5.09999990463257,18.4166660308838,4.11666679382324,598,84,28,37.323673248291,209,86,193,92,NA,NA,48
20,"FS-MER","JB",77,64,63,64,1,"1","FS","FS-MER1","A",1,"5/31/19",NA,0019-10-01,"11/12/19",123,274,4.9842129,43.6370612,14.6458330154419,10.2749996185303,36.1795768737793,653.422668457031,30.2999992370605,1.89999997615814,28.3999996185303,15.1000003814697,23,23,6.94999980926514,694,108,23,35.1029624938965,241,106,106,170,NA,NA,64
21,"CC-OKA","JB",92,70,NA,70,1,"1","CC","CC-OKA1","A",1,"5/24/19",NA,0019-09-09,"10/1/19",108,252,-121.9551316,37.2598201,15.8416662216187,13.8000001907349,55.6451606750488,421.328155517578,28.8999996185303,4.09999990463257,24.7999992370605,11.6666669845581,20.716667175293,20.9333324432373,10.7333335876465,522,112,1,93.3377685546875,286,5,9,278,NA,NA,70
22,"NL-LAR","VG",59,46,46,46,1,"1","NL","NL-LAR1","A",1,"5/24/19",NA,0019-09-27,"10/23/19",126,270,5.2314001,52.2380862,9.50416660308838,8.09166622161865,36.1235122680664,545.016479492188,22,-0.400000005960464,22.3999996185303,6.69999980926514,5.40000009536743,16.283332824707,3.01666665077209,846,87,49,16.9361534118652,256,172,205,211,NA,NA,46
25,"CC-SHL","DR",92,65,NA,65,1,"1","CC","CC-SHL1","A",1,"5/24/19",NA,0019-09-10,"10/8/19",109,253,-122.0826896,37.4327147,15.1291666030884,11.5416669845581,54.4418258666992,371.999877929688,25.7999992370605,4.59999990463257,21.1999988555908,11.466667175293,19.25,19.4500007629395,10.4333333969116,378,74,1,88.4265670776367,198,5,8,192,5,6,76
26,"CC-BAI","VG",82,51,50,51,1,"1","CC","CC-BAI1","A",1,"5/24/19",NA,0019-09-12,"10/8/19",111,255,-122.2425698,37.5042179,14.75,11.3833332061768,55.2588996887207,357.395904541016,25.2000007629395,4.59999990463257,20.6000003814697,11.2666664123535,18.7000007629395,18.9833335876465,10.25,473,97,1,90.6665115356445,254,6,9,249,1,NA,52
27,"FS-FRE","JB",88,58,NA,58,1,"1","FS","FS-FRE1","A",1,"5/24/19",NA,0019-09-04,"10/1/19",103,247,6.6973923,43.4497759,15.1083335876465,8.69999980926514,36.0995826721191,563.390014648438,28.2000007629395,4.09999990463257,24.1000003814697,12.2833337783813,22.25,22.2999992370605,8.68333339691162,824,108,13,39.8277854919434,301,102,126,255,NA,NA,58
28,"FS-VID","MH/JB",95,73,72,73,1,"1","FS","FS-VID1","A",1,"5/24/19",NA,0019-09-09,"10/1/19",108,252,6.4532512,43.413605,14.6875,9.40833377838135,37.0406799316406,583.524291992188,28.7000007629395,3.29999995231628,25.4000015258789,11.6666660308838,22.1499996185303,22.1499996185303,8,771,106,13,38.6671295166016,280,96,96,234,NA,NA,73
29,"CC-FOO","UO",81,58,55,57,1,"1","CC","CC-FOO1","A",1,"5/24/19",NA,0019-09-09,"10/4/19",108,252,-122.0675,37.33555556,15.154167175293,12.7083339691162,55.4949035644531,394.043487548828,27.1000003814697,4.19999980926514,22.9000015258789,11.2666664123535,19.6666679382324,19.8999996185303,10.3500003814697,497,102,2,91.0279388427734,266,6,10,259,6,NA,63
30,"CC-LEX","JB",76,76,73,75,1,"1","CC","CC-LEX1","A",1,"5/24/19",NA,0019-09-09,"10/4/19",108,252,-121.9857941,37.199715,14.6041669845581,13.2416667938232,55.4044647216797,404.263977050781,27.3999996185303,3.5,23.8999996185303,10.5833330154419,19.25,19.5833339691162,9.69999980926514,661,143,2,94.6365737915039,365,8,13,358,5,3,83
31,"CC-CUP","UO",82,80,80,80,1,"1","CC","CC-CUP1","A",1,"5/24/19",NA,0019-09-10,"10/4/19",109,253,-121.9592933,37.489255,15.4916667938232,11.6499996185303,53.4403686523438,395.214752197266,26.8999996185303,5.09999990463257,21.7999992370605,11.5333337783813,19.8500003814697,20.1166667938232,10.5,343,67,1,87.2164916992188,178,5,8,172,NA,NA,80
32,"CC-ALM","NL",90,97,NA,97,1,"1","CC","CC-ALM1","A",1,"5/24/19",NA,0019-09-09,"10/1/19",108,252,-121.8817784,37.2147062,15.5416660308838,13.8666667938232,55.6894264221191,424.589813232422,28.7999992370605,3.90000009536743,24.8999996185303,11.3000001907349,20.4499988555908,20.716667175293,10.3833332061768,550,119,2,93.755126953125,300,6,10,296,NA,2,99
33,"CE-CAR","JB",68,68,NA,68,1,"1","CE","CE-CAR1","A",1,"5/24/19",NA,0019-09-09,"10/4/19",108,252,-120.5077954,38.0352006,15.1499996185303,15.8999996185303,47.1810073852539,664.016723632812,35,1.29999995231628,33.7000007629395,8.48333358764648,23.3000011444092,23.7333335876465,7.63333320617676,800,147,2,85.5898818969727,406,12,21,393,4,6,78
34,"CC-FBK","CC",85,75,NA,75,1,"1","CC","CC-FBK1","A",1,"5/31/19",NA,0019-09-09,"10/4/19",101,252,-122.1413213,37.4853923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,78
36,"CE-SRK","VG",88,42,49,46,1,"1","CE","CE-SRK1","A",1,"5/24/19",NA,0019-09-12,"10/8/19",111,255,-120.7640859,38.6912893,14.3166666030884,14.6666660308838,46.1215934753418,643.581359863281,32.7000007629395,0.899999976158142,31.8000011444092,7.56666660308838,22.2000007629395,22.5833339691162,7,1005,182,5,82.8668518066406,492,21,33,489,2,1,49
37,"FC-MLB","ER",84,92,95,94,1,"1","FC","FC-MLB1","A",1,"6/21/19",NA,0019-09-18,"10/15/19",89,261,2.5883278,46.3786259,11.3625001907349,9.97500038146973,39.271656036377,584.606018066406,25.7999992370605,0.400000005960464,25.3999996185303,16.966667175293,5.46666669845581,18.75,4.43333339691162,659,72,38,21.3580856323242,195,123,194,134,NA,NA,94
38,"CE-LGR","NL",100,77,NA,77,1,"1","CE","CE-LGR1","A",1,"5/24/19",NA,0019-09-09,"10/4/19",108,252,-120.4752845,37.828463,16.091667175293,16.8166656494141,47.1055107116699,706.244323730469,36.7999992370605,1.10000002384186,35.7000007629395,9.10000038146973,24.75,25.0833339691162,7.93333339691162,650,115,2,85.2466125488281,329,10,16,316,3,11,91
