id,pop,rep,measure_traits
249,NL-DOR,A,yes
250,CE-JES,A,yes
251,CE-COL,A,yes
252,FC-COU,A,yes
253,CE-CAR,A,yes
254,CE-LLL,A,yes
255,CC-BYD,A,yes
256,CC-PPR,A,yes
257,CC-SCR,A,yes
258,FC-BOE,A,yes
259,CE-DUT,A,yes
260,CC-BAI,A,no
261,FS-ARI,A,NA
262,CC-LEX,A,no
263,CE-SON,A,yes
264,CE-LGR,A,yes
265,FS-MER,A,yes
266,CE-SCT,A,yes
267,FC-EVR,A,yes
268,FC-ISB,A,yes
269,NL-TIL,A,yes
270,FC-COD,A,yes
271,FS-LAT,A,NA
272,CE-SRK,A,yes
273,NL-WHV,A,yes
274,CC-ALM,A,yes
275,FC-LEM,A,yes
276,FC-MLB,A,yes
277,CE-JAM,A,yes
278,CE-TUL,A,yes
279,CC-GUA,A,yes
280,CE-JAR,A,yes
281,FS-VID,A,yes
282,CC-FBK,A,yes
283,CC-SHL,A,yes
284,CC-CUP,A,yes
285,NL-SCH,A,yes
286,CE-JVR,A,yes
287,CC-FOO,A,yes
288,NL-CUI,A,yes
289,FC-COU,A,yes
290,FS-LAT,A,NA
291,CE-LGR,A,yes
292,CE-LLL,A,yes
293,CC-GUA,A,yes
294,FC-LEM,A,yes
295,FC-COD,A,yes
296,FS-ARI,A,NA
297,FS-MER,A,NA
298,CE-SRK,A,yes
299,NL-DOR,A,yes
300,CC-BYD,A,yes
301,FS-FRE,A,yes
302,CE-TUL,A,yes
303,CC-ALM,A,yes
304,CC-SHL,A,yes
305,CC-FOO,A,yes
306,NL-LAR,A,yes
307,CE-SCT,A,yes
308,CE-JES,A,yes
309,CC-BAI,A,yes
310,CE-JAM,A,yes
311,CE-OAK,A,yes
312,CE-CAR,A,yes
313,CE-JVR,A,yes
314,CC-CVR,A,yes
315,NL-CUI,A,yes
316,FC-BOE,A,yes
317,FC-ISB,A,yes
318,CE-DUT,A,yes
319,NL-HAR,A,yes
320,CC-CUP,A,yes
321,CC-ALV,A,yes
322,FC-MMA,A,yes
323,FC-EVR,A,yes
324,CC-FBK,A,yes
325,NL-WHV,A,yes
326,NL-TIL,A,yes
327,FC-MLB,A,yes
328,CC-PPR,A,yes
329,CE-JAR,A,yes
330,CE-COL,A,yes
331,CC-OKA,A,yes
332,FS-VID,A,yes
333,NL-SCH,A,yes
334,CE-SON,A,yes
335,CC-LEX,A,yes
336,CC-SCR,A,yes
337,CE-SON,A,yes
338,CC-ALV,A,yes
339,CC-OKA,A,yes
340,FC-LEM,A,yes
341,CE-JES,A,yes
342,CC-SHL,A,yes
343,CE-SCT,A,yes
344,NL-TIL,A,yes
345,CE-LGR,A,yes
346,FC-BOE,A,yes
347,CC-LEX,A,yes
348,NL-WHV,A,yes
349,CE-JAR,A,yes
350,CC-PPR,A,yes
351,FC-EVR,A,yes
352,CE-SRK,A,yes
353,NL-HAR,A,yes
354,CE-COL,A,yes
355,FS-LAT,A,NA
356,CE-LLL,A,yes
357,CC-ALM,A,yes
358,FC-COU,A,yes
359,FS-MER,A,NA
360,NL-SCH,A,yes
361,NL-CUI,A,NA
362,CC-FOO,A,yes
363,CE-JVR,A,NA
364,CE-OAK,A,yes
365,CE-DUT,A,yes
366,FC-MMA,A,yes
367,NL-DOR,A,NA
368,CE-TUL,A,yes
369,CC-GUA,A,yes
370,FS-ARI,A,NA
371,CE-CAR,A,yes
372,FC-MLB,A,yes
373,CC-CUP,A,yes
374,FC-COD,A,yes
375,FS-FRE,A,yes
376,CC-CVR,A,yes
377,FC-ISB,A,yes
378,CC-SCR,A,yes
379,NL-LAR,A,NA
380,CE-JAM,A,yes
381,CC-BAI,A,no
382,FS-VID,A,yes
383,CC-FBK,A,yes
384,CC-BYD,A,yes
385,CE-JVR,A,yes
386,CC-CVR,A,yes
387,NL-DOR,A,yes
388,CE-LGR,A,yes
389,FS-MER,A,yes
390,CC-FBK,A,yes
391,NL-WHV,A,yes
392,CC-PPR,A,yes
393,NL-CUI,A,NA
394,CE-JES,A,yes
395,CC-ALV,A,yes
396,CE-CAR,A,yes
397,NL-HAR,A,no
398,CC-SCR,A,yes
399,FS-FRE,A,yes
400,CC-OKA,A,yes
401,CE-JAR,A,yes
402,CC-FOO,A,yes
403,NL-SCH,A,yes
404,CC-SHL,A,yes
405,CC-LEX,A,yes
406,FC-EVR,A,yes
407,NL-LAR,A,yes
408,CC-BAI,A,yes
409,CE-SCT,A,NA
410,FS-VID,A,yes
411,CC-ALM,A,yes
412,FS-LAT,A,NA
413,CC-CUP,A,yes
414,NL-TIL,A,no
415,CE-COL,A,yes
416,CC-BYD,A,yes
417,CE-DUT,A,yes
418,CE-SON,A,yes
419,FC-MLB,A,yes
420,FC-MMA,A,NA
421,FC-COD,A,yes
422,CE-SRK,A,yes
423,FC-ISB,A,yes
424,CE-JAM,A,yes
425,FC-LEM,A,yes
426,CC-GUA,A,yes
427,FC-COU,A,yes
428,CE-LLL,A,yes
429,FC-BOE,A,yes
430,FS-ARI,A,NA
