Num,PopName,PopType,TypeAlpha,Pop,Rep,DishNum,PopNum,DishType,ID,SurvivalID,NoGerm,TotGerm,PropGerm,Label,PlantDate,GermDate,CensorJMP,CensorR,DaysGermYes,Census,DaysCensus,DaysToGerm
35,BAY,Off-road,O,BAY-O,B,2,1,Construction,B_1_Construction,Construction_O,0,10,1,Seed5Date,44398,44401,0,1,3,44411,13,3
36,BAY,Off-road,O,BAY-O,B,2,1,Construction,B_1_Construction,Construction_O,0,10,1,Seed6Date,44398,44401,0,1,3,44411,13,3
37,BAY,Off-road,O,BAY-O,B,2,1,Construction,B_1_Construction,Construction_O,0,10,1,Seed7Date,44398,44401,0,1,3,44411,13,3
38,BAY,Off-road,O,BAY-O,B,2,1,Construction,B_1_Construction,Construction_O,0,10,1,Seed8Date,44398,44402,0,1,4,44411,13,4
39,BAY,Off-road,O,BAY-O,B,2,1,Construction,B_1_Construction,Construction_O,0,10,1,Seed9Date,44398,44404,0,1,6,44411,13,6
40,BAY,Off-road,O,BAY-O,B,2,1,Construction,B_1_Construction,Construction_O,0,10,1,Seed10Date,44398,44407,0,1,9,44411,13,9
41,BAY,Off-road,O,BAY-O,C,3,1,Forest,C_1_Forest,Forest_O,3,7,0.7,Seed1Date,44398,44401,0,1,3,44411,13,3
42,BAY,Off-road,O,BAY-O,C,3,1,Forest,C_1_Forest,Forest_O,3,7,0.7,Seed2Date,44398,44401,0,1,3,44411,13,3
43,BAY,Off-road,O,BAY-O,C,3,1,Forest,C_1_Forest,Forest_O,3,7,0.7,Seed3Date,44398,44401,0,1,3,44411,13,3
44,BAY,Off-road,O,BAY-O,C,3,1,Forest,C_1_Forest,Forest_O,3,7,0.7,Seed4Date,44398,44401,0,1,3,44411,13,3
45,BAY,Off-road,O,BAY-O,C,3,1,Forest,C_1_Forest,Forest_O,3,7,0.7,Seed5Date,44398,44401,0,1,3,44411,13,3
46,BAY,Off-road,O,BAY-O,C,3,1,Forest,C_1_Forest,Forest_O,3,7,0.7,Seed6Date,44398,44402,0,1,4,44411,13,4
47,BAY,Off-road,O,BAY-O,C,3,1,Forest,C_1_Forest,Forest_O,3,7,0.7,Seed7Date,44398,44405,0,1,7,44411,13,7
48,BAY,Off-road,O,BAY-O,C,3,1,Forest,C_1_Forest,Forest_O,3,7,0.7,Seed8Date,44398,,1,0,-44398,44411,13,13
49,BAY,Off-road,O,BAY-O,C,3,1,Forest,C_1_Forest,Forest_O,3,7,0.7,Seed9Date,44398,,1,0,-44398,44411,13,13
50,BAY,Off-road,O,BAY-O,C,3,1,Forest,C_1_Forest,Forest_O,3,7,0.7,Seed10Date,44398,,1,0,-44398,44411,13,13
51,BAY,Off-road,O,BAY-O,C,3,1,Construction,C_1_Construction,Construction_O,1,9,0.9,Seed1Date,44398,44400,0,1,2,44411,13,2
52,BAY,Off-road,O,BAY-O,C,3,1,Construction,C_1_Construction,Construction_O,1,9,0.9,Seed2Date,44398,44400,0,1,2,44411,13,2
53,BAY,Off-road,O,BAY-O,C,3,1,Construction,C_1_Construction,Construction_O,1,9,0.9,Seed3Date,44398,44400,0,1,2,44411,13,2
54,BAY,Off-road,O,BAY-O,C,3,1,Construction,C_1_Construction,Construction_O,1,9,0.9,Seed4Date,44398,44400,0,1,2,44411,13,2
55,BAY,Off-road,O,BAY-O,C,3,1,Construction,C_1_Construction,Construction_O,1,9,0.9,Seed5Date,44398,44401,0,1,3,44411,13,3
56,BAY,Off-road,O,BAY-O,C,3,1,Construction,C_1_Construction,Construction_O,1,9,0.9,Seed6Date,44398,44401,0,1,3,44411,13,3
57,BAY,Off-road,O,BAY-O,C,3,1,Construction,C_1_Construction,Construction_O,1,9,0.9,Seed7Date,44398,44401,0,1,3,44411,13,3
58,BAY,Off-road,O,BAY-O,C,3,1,Construction,C_1_Construction,Construction_O,1,9,0.9,Seed8Date,44398,44402,0,1,4,44411,13,4
59,BAY,Off-road,O,BAY-O,C,3,1,Construction,C_1_Construction,Construction_O,1,9,0.9,Seed9Date,44398,44404,0,1,6,44411,13,6
60,BAY,Off-road,O,BAY-O,C,3,1,Construction,C_1_Construction,Construction_O,1,9,0.9,Seed10Date,44398,,1,0,-44398,44411,13,13
61,BAY,Off-road,O,BAY-O,D,4,1,Construction,D_1_Construction,Construction_O,3,7,0.7,Seed1Date,44398,44400,0,1,2,44411,13,2
62,BAY,Off-road,O,BAY-O,D,4,1,Construction,D_1_Construction,Construction_O,3,7,0.7,Seed2Date,44398,44400,0,1,2,44411,13,2
63,BAY,Off-road,O,BAY-O,D,4,1,Construction,D_1_Construction,Construction_O,3,7,0.7,Seed3Date,44398,44400,0,1,2,44411,13,2
64,BAY,Off-road,O,BAY-O,D,4,1,Construction,D_1_Construction,Construction_O,3,7,0.7,Seed4Date,44398,44400,0,1,2,44411,13,2
65,BAY,Off-road,O,BAY-O,D,4,1,Construction,D_1_Construction,Construction_O,3,7,0.7,Seed5Date,44398,44401,0,1,3,44411,13,3
66,BAY,Off-road,O,BAY-O,D,4,1,Construction,D_1_Construction,Construction_O,3,7,0.7,Seed6Date,44398,44402,0,1,4,44411,13,4
67,BAY,Off-road,O,BAY-O,D,4,1,Construction,D_1_Construction,Construction_O,3,7,0.7,Seed7Date,44398,44406,0,1,8,44411,13,8
68,BAY,Off-road,O,BAY-O,D,4,1,Construction,D_1_Construction,Construction_O,3,7,0.7,Seed8Date,44398,,1,0,-44398,44411,13,13
69,BAY,Off-road,O,BAY-O,D,4,1,Construction,D_1_Construction,Construction_O,3,7,0.7,Seed9Date,44398,,1,0,-44398,44411,13,13
70,BAY,Off-road,O,BAY-O,D,4,1,Construction,D_1_Construction,Construction_O,3,7,0.7,Seed10Date,44398,,1,0,-44398,44411,13,13
71,BAY,Off-road,O,BAY-O,D,4,1,Forest,D_1_Forest,Forest_O,1,9,0.9,Seed1Date,44398,44400,0,1,2,44411,13,2
72,BAY,Off-road,O,BAY-O,D,4,1,Forest,D_1_Forest,Forest_O,1,9,0.9,Seed2Date,44398,44400,0,1,2,44411,13,2
